tCustomerCode,tCompanyCode,tCompany,tAyalaCode,tCustomerType,tCompanyName,tLastname,tFirstname,tMiddlename,tSuffix,tNickname,tCivilStatus,tTitle,tPrimaryAddress,tMobile,tLandline,tEmail,tGender,tTin,dBirthdate,tCustomerClassification,tServiceClassification,tTenure,dTenure,tFacebookAccount,iTotalPurchase,iTotalReceivables,tAssignedSE,tRecentSA,iCreditTerms,tContactPerson,tNatureofBusiness,tLastUpdate,bARC,tARCSubsidiary,tARCNumber,dARCValidity,bPotential
388448,HCMI,HCMI,141723,I,,VAUGHAN,LOVE,HALE,,,Married,Mr.,BRGY. AYALA ALABANG MUNTINLUPA CITY,9170000001,7780001,testemail01@YAHOO.COM,Male,,01/01/1900,,,,09/03/2018,,0,0,,,0,,,04/05/2018,0,,,,
389658,HCMI,HCMI,141724,I,,WILSON,FARMER,PITTMAN,,,Single,Mr.,ALMANZA DOS LAS PINAS CITY,9170000002,7780002,testemail02@YAHOO.COM,Male,,01/01/1900,,,,13/04/2018,,0,0,,,0,,,4/13/18,0,,,,
387851,HCMI,HCMI,141725,I,,RAMIREZ,HESS,PITTS,,,Married,Mr.,MULTINATIONAL VILLAGE PARANAQUE CITY,9170000003,7780003,testemail03@YAHOO.COM,Male,,01/01/1900,,,,20/02/2018,,0,0,,,0,,,03/05/2018,0,,,,
389039,HCMI,HCMI,141726,I,,MADDOX,ODOM,KLEIN,,,Single,Mr.,"DITA SANTA ROSA CITY, LAGUNA",9170000004,7780004,testemail04@YAHOO.COM,Male,,01/01/1900,,,,24/03/2018,,0,0,,,0,,,3/24/18,0,,,,
389624,HCMI,HCMI,141727,I,,GENTRY,MCPHERSON,ZUNIGA,,,Single,Mr.,BGC TAGUIG CITY,9170000005,7780005,testemail05@YAHOO.COM,Male,,01/01/1900,,,,12/04/2018,,0,0,,,0,,,06/04/2018,0,,,,
389194,HCMI,HCMI,141728,I,,BARTON,MCDONALD,NIXON,,,Single,Ms.,DASMARINAS VILLAGE NORTH MAKATI CITY,9170000006,7780006,testemail06@YAHOO.COM,Female,,01/01/1900,,,,28/03/2018,,0,0,,,0,,,5/26/18,0,,,,
387558,HCMI,HCMI,6478,I,,FLOYD,REID,SNOW,,,Single,Mr.,SAN MARTIN DE PORRES PARANAQUE CITY,9170000007,7780007,testemail07@YAHOO.COM,Male,,01/01/1900,,,,13/02/2018,,0,0,,,0,,,2/13/18,0,,,,
389393,HCMI,HCMI,139057,I,,HUBBARD,JOSEPH,PENNINGTON,,,Single,Ms.,SAN DIONISIO PARANAQUE CITY,9170000008,7780008,testemail08@YAHOO.COM,Female,,01/01/1900,,,,05/04/2018,,0,0,,,0,,,04/05/2018,0,,,,
387353,HCMI,HCMI,141729,I,,ORR,KEITH,DURAN,,,Single,Ms.,TALON DOS LAS PINAS CITY,9170000009,7780009,testemail09@YAHOO.COM,Female,,01/01/1900,,,,08/02/2018,,0,0,,,0,,,02/08/2018,0,,,,
390904,HCMI,HCMI,141730,I,,BENTLEY,ARIAS,SINGH,,,Single,Ms.,MARCELO GREEN VILLAGE PARANAQUE CITY,9170000010,7780010,testemail10@YAHOO.COM,Female,,01/01/1900,,,,23/05/2018,,0,0,,,0,,,5/24/18,0,,,,
386876,HCMI,HCMI,141731,I,,BLANCHARD,HINTON,CROSS,,,Married,Mr.,PILAR LAS PINAS CITY,9170000011,7780011,testemail11@YAHOO.COM,Male,,01/01/1900,,,,26/01/2018,,0,0,,,0,,,1/26/18,0,,,,
387367,HCMI,HCMI,141732,I,,DAVIDSON,VILLEGAS,NGUYEN,,,Single,Ms.,SUCAT MUNTINLUPA CITY,9170000012,7780012,testemail12@YAHOO.COM,Female,,01/01/1900,,,,08/02/2018,,0,0,,,0,,,02/08/2018,0,,,,
387285,HCMI,HCMI,141733,I,,BERGER,VILLARREAL,HARMON,,,Single,Mr.,MERVILLE PARK PARANAQUE CITY,9170000013,7780013,testemail13@YAHOO.COM,Male,,01/01/1900,,,,07/02/2018,,0,0,,,0,,,02/07/2018,0,,,,
388333,HCMI,HCMI,141734,I,,CHANG,SCOTT,JORDAN,,,Single,Mr.,"BARANGAY 14 (LORO) CAVITE CITY, CAVITE",9170000014,7780014,testemail14@YAHOO.COM,Male,,01/01/1900,,,,06/03/2018,,0,0,,,0,,,03/06/2018,0,,,,
390124,HCMI,HCMI,141735,I,,MALDONADO,BRADLEY,BRENNAN,,,Single,Mr.,"MEDICION I-B IMUS, CAVITE",9170000015,7780015,testemail15@YAHOO.COM,Male,,01/01/1900,,,,26/04/2018,,0,0,,,0,,,5/29/18,0,,,,
386975,HCMI,HCMI,141736,I,,BEASLEY,BARTLETT,LOPEZ,,,Married,Mr.,PALANAN MAKATI CITY,9170000016,7780016,testemail16@YAHOO.COM,Male,,01/01/1900,,,,30/01/2018,,0,0,,,0,,,1/30/18,0,,,,
387693,HCMI,HCMI,141737,I,,MCNEIL,RIGGS,HENDRICKS,,,Single,Mr.,SAN MARTIN DE PORRES PARANAQUE CITY,9170000017,7780017,testemail17@YAHOO.COM,Male,,01/01/1900,,,,17/02/2018,,0,0,,,0,,,2/17/18,0,,,,
388750,HCMI,HCMI,141738,I,,GLENN,HERRERA,GARCIA,,,Married,Mr.,FILINIVEST CORPORATE CITY MUNTINLUPA CITY,9170000018,7780018,testemail18@YAHOO.COM,Male,,01/01/1900,,,,17/03/2018,,0,0,,,0,,,3/17/18,0,,,,
